用户ID,评论时间,点赞总数,评论内容
"281517994,2017-10-15 16:00:15,0,这剧情，拍电视啊[大哭]+"
"48475125,2017-10-15 15:25:09,0,开往白石桥东+"
"31582289,2017-10-15 14:50:50,3,赵雷是什么样的boy反正就想嫁给这样的男孩子+"
"318249568,2017-10-15 14:05:18,3,没次听到这首歌都很激动 可能是因为他去酒吧唱了这首歌 并把视频发给我了的原因吧+"
"107361326,2017-10-15 13:53:39,0,今天+"
"436189381,2017-10-15 13:03:58,1,雷子的每一首诗都是故事+"
"358139403,2017-10-15 12:36:13,1,再过三个多月也要坐着北京到成都的火车回到大四川+"
"303659864,2017-10-15 12:18:41,1,因为爱你胜过所有，所以只要你说的任何质疑我对你的爱的言语我都会反应很强烈很激动。这或许是我在你面前唯一一点仅存的白羊脾气吧。今年12月我们将去北京。去趟鼓楼什刹海吧+"
"284119723,2017-10-15 12:03:51,0,我这下雨了，地点北方的老工业城市+"
"266685928,2017-10-15 11:38:06,0,还真不是  是恰好知道+"
"480956402,2017-10-15 11:05:05,1,未曾去过鼓楼，但我知道，那一切繁华定与我无关，我只想做个沉默不语的过客，靠着墙壁晒太阳且想念着妳！+"
"377683882,2017-10-15 10:02:54,2,我是个沉默不语的靠着车窗想念你的乘客[星星]+"
"442878084,2017-10-15 09:55:10,2,喜欢的人跟我说他最喜欢赵雷，赵雷的歌里他最喜欢南方姑娘和鼓楼，我说我也喜欢南方姑娘，却对鼓楼没有什么印象，所以我来了+"
"579950952,2017-10-15 09:51:34,0,南锣鼓巷+"
"365163497,2017-10-15 09:36:13,1,喜欢+"
"96252991,2017-10-15 09:23:01,0,生日快乐+"
"427707411,2017-10-15 17:18:37,7,2017年8月19日，从青海湖义工旅行一个月回来，在地铁2号线，一个旁边一个戴眼镜长发女生晕倒了，到站之后赶紧把她扶了出来，以为她低血糖，给她吃了一颗糖，买了一瓶饮料，看她在长椅上躺着，等了好久，由于还有事就交给地铁工作人员了，不知道她怎么样了，希望她健康+"
"98051823,2017-10-15 17:14:29,0,最近工作，学习，准备考试，房子装修……各种事情……很疲惫。睡个懒觉也成了一种奢侈……只有雷子的声音，让内心觉得温暖踏实～+"
"402655489,2017-10-15 16:10:26,0,新婚快乐+"
"505821410,2017-10-15 16:06:23,0,问题是老哥你不是他啊+"
"281517994,2017-10-15 16:00:15,0,这剧情，拍电视啊[大哭]+"
"48475125,2017-10-15 15:25:09,0,开往白石桥东+"
"31582289,2017-10-15 14:50:50,3,赵雷是什么样的boy反正就想嫁给这样的男孩子+"
"318249568,2017-10-15 14:05:18,3,没次听到这首歌都很激动 可能是因为他去酒吧唱了这首歌 并把视频发给我了的原因吧+"
"107361326,2017-10-15 13:53:39,0,今天+"
"436189381,2017-10-15 13:03:58,1,雷子的每一首诗都是故事+"
"358139403,2017-10-15 12:36:13,1,再过三个多月也要坐着北京到成都的火车回到大四川+"
"303659864,2017-10-15 12:18:41,1,因为爱你胜过所有，所以只要你说的任何质疑我对你的爱的言语我都会反应很强烈很激动。这或许是我在你面前唯一一点仅存的白羊脾气吧。今年12月我们将去北京。去趟鼓楼什刹海吧+"
"284119723,2017-10-15 12:03:51,0,我这下雨了，地点北方的老工业城市+"
"266685928,2017-10-15 11:38:06,0,还真不是  是恰好知道+"
"480956402,2017-10-15 11:05:05,1,未曾去过鼓楼，但我知道，那一切繁华定与我无关，我只想做个沉默不语的过客，靠着墙壁晒太阳且想念着妳！+"
"377683882,2017-10-15 10:02:54,2,我是个沉默不语的靠着车窗想念你的乘客[星星]+"
"442878084,2017-10-15 09:55:10,2,喜欢的人跟我说他最喜欢赵雷，赵雷的歌里他最喜欢南方姑娘和鼓楼，我说我也喜欢南方姑娘，却对鼓楼没有什么印象，所以我来了+"
"579950952,2017-10-15 09:51:34,0,南锣鼓巷+"
"365163497,2017-10-15 09:36:13,1,喜欢+"
"96252991,2017-10-15 09:23:01,0,生日快乐+"
"12037658,2017-03-04 14:51:49,2,为鼓楼而来+"
"126535964,2017-03-04 13:55:22,3,他们都有好多感人的故事，而我却没有，我只有一支抽了一半的烟，一瓶剩底的酒，一个还没追到的心上人。+"
"110732311,2017-03-04 13:18:55,1,这个。。。93年，张国荣说的。+"
"342911324,2017-03-04 12:49:30,6,2017年3月4号中午十二点三十八分，自己一个人站在开封的鼓楼下面，这个几经翻修的鼓楼，没有北京的那份雄伟，也没有西安的那份沧桑，书店街没有什刹海那份繁华，鼓楼下面也并不是车水马龙。跟歌里写的一样，我也是个很平凡的人，几年以后，我也会买房子结婚。很庆幸我有一个，每天能说晚安的人。+"
"379905063,2017-03-04 12:44:38,3,歌里有什刹海。我是西安人，每次听也会想念西安的鼓楼和回民街，还有好吃的。。很多老城都有鼓楼，或许鼓楼会引发大家对于旧民居和慢生活的共鸣吧😄+"
"30144178,2017-03-04 12:35:09,4,我一直以为是西安的鼓楼。。。+"
"379905063,2017-03-04 12:32:09,2,赵雷有好多故事，听赵雷的朋友也有好多故事，或开心幸福，或伤感落寞，种种人间烟火，再平凡不过，可是感觉真好。偶然看到你们的故事，祝幸福。+"
"379905063,2017-03-04 11:23:41,1,何须客气，趣味良多也+"
"389035113,2017-03-04 11:12:13,3,突然想放假听着这首歌去看看鼓楼+"
"270773267,2017-03-04 10:02:33,4,真是个美好的故事，今年五月份我们也结婚，我和老公也都喜欢听赵雷的歌。祝福！+"
"330556401,2017-03-04 09:52:34,5,原来还有这么多人跟我一样痴迷鼓楼，一大早就想听循环了几个月一点不腻味！前些天去了天津鼓楼，那里没有什刹海也没有107路，听着鼓楼做一个执着的迷惘的伪文青+"
"126193320,2017-03-04 09:37:26,2,时间是带走青春的电车+"
"259039850,2017-03-04 08:38:27,8,今天要去一趟鼓楼，再去瞅一瞅怎么都不爱的炒肝儿，咂巴一瓶老酸奶，等着看一眼107路。明天即将离开，三年，让我对北京的情感太过于复杂。+"
"362546405,2017-03-04 08:04:53,3,[可爱]前奏一响，一天循环+"
"110732311,2017-03-04 06:14:19,1,一时兴起，让您见笑了。+"
"421662829,2017-03-04 04:51:55,1,不是的+"
"52821657,2017-03-04 02:37:05,2,烂大街就没感觉了？不懂+"
"315653061,2017-03-03 23:53:04,3,真是羡慕+"
"54425936,2017-03-03 22:55:43,3,为我的信仰充值+"
"277348375,2017-03-03 22:18:41,6,我也是因为这首才买的专辑！+"
"374681645,2016-12-28 06:35:10,2,me!+"
